# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
algorithm2	0.522566	0.558206	62	0

[cluster_summary]
code	route_count	p_function_fault	p_threshold
627310569	3	6.88338e-15	1
904285308	3	4.88498e-15	1

[cluster_wcrt_summary]
code	period_ms	deadline_ms	main_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_fault_wcrt_ms	meets_deadline
627310569	10	10	2.63	2.832	2.7112	1	1	10.1732	0
904285308	5	5	0.6752	0.7148	0.596	1	1	3.986	1

[route_summary]
code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
451908486	0	3	0	2	1	2	2	2	1	1.56816e-15	5.55556e-15	0.3468
574077934	0	3	0	2	4	10	10	2	1	2.43936e-15	2.77778e-14	2.63
928090276	0	3	0	1	3	20	20	2	1	1.56816e-15	5.55556e-14	2.5268
963314774	0	3	0	3	2	100	100	2	1	1.56816e-15	2.77778e-13	4.3864
1205382420	0	3	0	1	2	1	1	2	1	1.56816e-15	2.77778e-15	0.2772
1727322922	0	3	0	1	2	10	10	2	1	1.56816e-15	2.77778e-14	1.8496
2054999896	0	3	0	0	2	100	100	2	1	1.56816e-15	2.77778e-13	3.626
2618470185	0	3	0	4	3	20	20	2	1	1.56816e-15	5.55556e-14	2.4476
3855444880	0	3	0	4	2	20	20	2	1	1.56816e-15	5.55556e-14	2.6696
4092937341	0	3	0	3	2	1000	1000	2	1	1.56816e-15	2.77778e-12	5.9328
4209254968	0	3	0	1	3	10	10	2	1	1.56816e-15	2.77778e-14	2.5268
4261097810	0	3	0	2	0	5	5	2	1	1.56816e-15	1.38889e-14	0.5148
43910001	0	2	0	4	2	10	10	2	1	1.56816e-15	2.77778e-13	2.6696
83144869	0	2	0	0	4	100	100	2	1	1.56816e-15	2.77778e-12	4.624
301398390	0	2	0	3	2	10	10	2	1	1.56816e-15	2.77778e-13	2.408
495130845	0	2	0	2	0	20	20	2	1	1.56816e-15	5.55556e-13	3.3884
606666641	0	2	0	1	2	20	20	2	1	1.56816e-15	5.55556e-13	3.032
643637346	0	2	0	4	0	10	10	2	1	1.64736e-15	2.77778e-13	1.9308
918728477	0	2	0	1	0	1000	1000	2	1	1.56816e-15	2.77778e-11	5.8536
1146288808	0	2	0	2	1	100	100	2	1	1.56816e-15	2.77778e-12	4.7428
1444972920	0	2	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	3.3092
1493603441	0	2	0	2	3	10	10	2	1	1.73056e-15	2.77778e-13	1.7704
1735361969	0	2	0	0	4	10	10	2	1	1.73056e-15	2.77778e-13	2.7528
