origin_bandwidth_util	3.48880000000000023e-01
backup_bandwidth_util	5.72639999999999816e-01

[signal_fault_compare]
code	level	level_asil	src_ecu	dst_ecu	period_ms	copies_backup	p_fault_origin	p_fault_backup	p_threshold
90687314	0	A	4	0	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
138862700	0	A	1	3	2	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
382446085	0	A	3	0	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
430646417	0	A	0	1	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
481296015	0	A	5	0	5	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
602293555	0	A	2	5	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
606726597	0	A	0	3	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
616608204	0	A	2	0	5	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
825593865	0	A	2	1	20	3	1.06919428407570294e-05	1.28400854068081043e-15	1.00000000000000000e+00
827773838	0	A	0	2	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1079207767	0	A	5	2	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1104588249	0	A	3	5	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1327292881	0	A	0	2	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1457536629	0	A	0	4	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1493501194	0	A	3	2	10	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
1607129070	0	A	4	3	20	1	1.17719307102248649e-05	1.17719307102248649e-05	1.00000000000000000e+00
1629435098	0	A	2	4	50	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1656143697	0	A	0	5	20	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
1671714665	0	A	3	0	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1789942364	0	A	4	0	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1855273306	0	A	1	3	5	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
1924798388	0	A	0	5	20	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
1979378018	0	A	3	2	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2055990098	0	A	2	3	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2085415102	0	A	2	5	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2087437808	0	A	5	3	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2131469441	0	A	3	4	10	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
2143942420	0	A	2	5	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2160514721	0	A	2	0	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2171161352	0	A	3	0	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2202370351	0	A	1	0	20	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
2256841245	0	A	1	0	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2310044414	0	A	5	3	50	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2373408406	0	A	4	3	20	1	1.17719307102248649e-05	1.17719307102248649e-05	1.00000000000000000e+00
2389072511	0	A	2	5	50	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2427016239	0	A	1	4	10	1	1.12319369213187414e-05	1.06919428407570294e-05	1.00000000000000000e+00
2458310711	0	A	4	5	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2467795535	0	A	3	1	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2511808317	0	A	5	2	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2566952302	0	A	1	2	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2605539265	0	A	0	4	5	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
2665035971	0	A	1	4	10	1	1.12319369213187414e-05	1.06919428407570294e-05	1.00000000000000000e+00
2670193180	0	A	2	0	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2741225372	0	A	4	2	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2804269330	0	A	2	5	20	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
2831306017	0	A	2	1	5	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2900853356	0	A	2	0	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
2947117882	0	A	2	0	50	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3058823173	0	A	2	1	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3079758100	0	A	5	2	1	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3112775413	0	A	2	0	2	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3148468367	0	A	1	4	20	1	1.12319369213187414e-05	1.06919428407570294e-05	1.00000000000000000e+00
3451794012	0	A	5	4	10	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
3468683958	0	A	4	0	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3476688662	0	A	2	0	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3498791255	0	A	5	2	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3627135396	0	A	0	4	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3648524536	0	A	5	1	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3789796235	0	A	4	1	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3808303016	0	A	5	4	20	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
3809058744	0	A	0	2	20	3	1.06919428407570294e-05	1.22227769085362741e-15	1.00000000000000000e+00
3836442211	0	A	0	1	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3889627212	0	A	1	5	1	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3896905599	0	A	5	0	50	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3930022951	0	A	2	1	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
3965871639	0	A	0	1	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
4085120209	0	A	2	4	1	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
4093382189	0	A	1	0	100	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
4098206260	0	A	4	5	20	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
4102589403	0	A	4	1	10	1	1.06919428407570294e-05	1.06919428407570294e-05	1.00000000000000000e+00
