code	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
8336920001340605062	1	50	50	2	1	0	0	0
16014905852376306394	1	2	2	2	0	0	0	0
4608294383933444509	2	10	10	1	0	0	0	0
7265647598924913728	2	20	20	2	1	0	0	0
11254326835652978538	1	20	20	1	2	0	0	0
7768972349072700392	2	10	10	0	1	0	0	1
15515736627096304513	2	100	100	2	0	0	2	0
8846456787788853499	2	10	10	0	1	0	0	0
17381193525147723834	2	100	100	2	1	0	0	0
8238522123187986922	2	20	20	1	2	0	3	0
9858739969753056628	1	10	10	1	0	0	0	0
9978777674870392361	2	10	10	0	2	0	2	0
1962696743762286176	2	10	10	1	2	0	0	0
15267057272276190640	2	100	100	0	2	0	0	0
4400465768841093743	1	20	20	2	0	0	0	0
7333738877633064982	2	10	10	0	2	0	0	1
8100609914285418051	2	10	10	1	2	0	0	0
15862139485466325639	1	100	100	2	1	0	0	0
13732927254635212826	2	100	100	2	1	0	0	0
14776614317305305990	1	2	2	2	1	0	1	0
14377546172779704659	4	10	10	0	2	0	0	1
8355182404520207097	2	10	10	2	1	0	0	1
15831305047962510180	1	10	10	1	2	0	0	0
566285097799922868	2	20	20	2	1	0	0	0
2054852250867874938	4	20	20	1	0	0	0	0
4430202083776262843	2	100	100	1	2	0	0	0
6883365437601807164	4	10	10	0	2	0	0	0
8305958782421372948	2	10	10	2	0	0	0	0
3907493325797567866	1	10	10	2	0	0	0	0
13796335099276124232	2	10	10	1	0	0	0	0
4477617783031695151	1	1	1	2	0	0	0	0
14472548691651066069	1	100	100	0	2	0	0	0
16176424112396486500	2	1	1	1	2	0	0	0
7896168823242756043	1	10	10	1	0	0	0	1
9614333679286413851	1	2	2	0	2	0	0	0
6661679286448655942	1	10	10	1	0	0	0	0
4390007379839724312	2	10	10	0	2	0	3	0
3687633485120760335	1	100	100	2	0	0	0	0
11636154296567220867	1	20	20	2	0	0	0	0
7955801314134400636	2	20	20	0	2	0	0	0
310984111169679118	2	20	20	2	0	0	0	0
