# foundation 方法下各数据集、各 ASIL 组的最坏信号故障概率与对应阈值
# 最坏信号定义：在该数据集和 ASIL 组内，使 p_fault / p_threshold 最大的信号

dataset	asil	code	max_p_fault	p_threshold	fault_to_threshold_ratio
M1	A	1041098508	1.3391999910327171e-08	1.0	1.3391999910327171e-08
M1	B	1480296070	1.2615782258299533e-16	1.388888888888889e-13	0.0009083363225975663
M1	C	3056872340	1.2615782258299533e-16	2.7777777777777774e-14	0.004541681612987832
M1	D	1485650330	1.2615782258299533e-16	2.7777777777777776e-15	0.04541681612987832
M2	A	1016692647	1.4471999895280609e-08	1.0	1.4471999895280609e-08
M2	B	1480296070	1.2009254268354555e-16	1.388888888888889e-13	0.000864666307321528
M2	C	3056872340	1.2615782258299533e-16	2.7777777777777774e-14	0.004541681612987832
M2	D	1485650330	1.2615782258299533e-16	2.7777777777777776e-15	0.04541681612987832
M3	A	168337547	1.4471999895280609e-08	1.0	1.4471999895280609e-08
M3	B	1480296070	1.2615782258299533e-16	1.388888888888889e-13	0.0009083363225975663
M3	C	3056872340	1.2615782258299533e-16	2.7777777777777774e-14	0.004541681612987832
M3	D	1485650330	1.2615782258299533e-16	2.7777777777777776e-15	0.04541681612987832
M4	A	886821176	1.879199982343037e-08	1.0	1.879199982343037e-08
M4	B	1480296070	1.2009254268354555e-16	1.388888888888889e-13	0.000864666307321528
M4	C	3056872340	1.2615782258299533e-16	2.7777777777777774e-14	0.004541681612987832
M4	D	1778470101	1.3857998236863647e-16	2.7777777777777776e-15	0.04988879365270913
M5	A	886821176	1.879199982343037e-08	1.0	1.879199982343037e-08
M5	B	1480296070	1.2586622258627062e-16	1.388888888888889e-13	0.0009062368026211484
M5	C	3056872340	1.2615782258299533e-16	2.7777777777777774e-14	0.004541681612987832
M5	D	1778470101	1.3857998236863647e-16	2.7777777777777776e-15	0.04988879365270913
M6	A	886821176	1.879199982343037e-08	1.0	1.879199982343037e-08
M6	B	1480296070	1.2586622258627062e-16	1.388888888888889e-13	0.0009062368026211484
M6	C	3056872340	1.2615782258299533e-16	2.7777777777777774e-14	0.004541681612987832
M6	D	1778470101	1.3857998236863647e-16	2.7777777777777776e-15	0.04988879365270913
