# ECDF points used for the deterministic-WCRT CDF plots.

config	scheme	point_index	threshold_wcrt_ms	cdf
E5S50_5ecu_50signals	foundation	1	0.039600000000007185	0.004
E5S50_5ecu_50signals	foundation	2	0.039600000000007185	0.008
E5S50_5ecu_50signals	foundation	3	0.039600000000007185	0.012
E5S50_5ecu_50signals	foundation	4	0.039600000000007185	0.016
E5S50_5ecu_50signals	foundation	5	0.039600000000007185	0.02
E5S50_5ecu_50signals	foundation	6	0.039600000000007185	0.024
E5S50_5ecu_50signals	foundation	7	0.039600000000007185	0.028
E5S50_5ecu_50signals	foundation	8	0.039600000000007185	0.032
E5S50_5ecu_50signals	foundation	9	0.039600000000007185	0.036
E5S50_5ecu_50signals	foundation	10	0.039600000000007185	0.04
E5S50_5ecu_50signals	foundation	11	0.069200000000194	0.044
E5S50_5ecu_50signals	foundation	12	0.069200000000194	0.048
E5S50_5ecu_50signals	foundation	13	0.069200000000194	0.052
E5S50_5ecu_50signals	foundation	14	0.07120000000020354	0.056
E5S50_5ecu_50signals	foundation	15	0.0732000000002131	0.06
E5S50_5ecu_50signals	foundation	16	0.07520000000022264	0.064
E5S50_5ecu_50signals	foundation	17	0.07520000000022264	0.068
E5S50_5ecu_50signals	foundation	18	0.07520000000022264	0.072
E5S50_5ecu_50signals	foundation	19	0.07520000000022264	0.076
E5S50_5ecu_50signals	foundation	20	0.07520000000022264	0.08
E5S50_5ecu_50signals	foundation	21	0.07920000000001437	0.084
E5S50_5ecu_50signals	foundation	22	0.07920000000001437	0.088
E5S50_5ecu_50signals	foundation	23	0.07920000000001437	0.092
E5S50_5ecu_50signals	foundation	24	0.07920000000001437	0.096
E5S50_5ecu_50signals	foundation	25	0.11080000000021073	0.1
E5S50_5ecu_50signals	foundation	26	0.11280000000022028	0.104
E5S50_5ecu_50signals	foundation	27	0.11480000000022983	0.108
E5S50_5ecu_50signals	foundation	28	0.11880000000002156	0.112
E5S50_5ecu_50signals	foundation	29	0.11880000000002156	0.116
E5S50_5ecu_50signals	foundation	30	0.11880000000002156	0.12
E5S50_5ecu_50signals	foundation	31	0.11880000000002156	0.124
E5S50_5ecu_50signals	foundation	32	0.11880000000002156	0.128
E5S50_5ecu_50signals	foundation	33	0.15840000000002874	0.132
E5S50_5ecu_50signals	foundation	34	0.15840000000002874	0.136
E5S50_5ecu_50signals	foundation	35	0.15840000000002874	0.14
E5S50_5ecu_50signals	foundation	36	0.15840000000002874	0.144
