# 跨六组信号集汇总的对比结果，便于直接复制到表格或画图脚本。
# dataset: 数据集标签，对应 M1~M6。
# scheme: foundation / baseline1 / baseline2。
# ASIL 分组指标均可直接按 dataset + scheme + asil 进行筛选或透视。

[bandwidth_utilization]
dataset	scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
M1_3ecu_75signals	foundation	0.27329199999999998	0.27329199999999998	75	19
M1_3ecu_75signals	baseline1	0.29249199999999997	0.29249199999999997	75	57
M1_3ecu_75signals	baseline2	0.14868400998710718	0.14868399999999998	75	0
M2_3ecu_105signals	foundation	0.36066000000000015	0.36066000000000015	105	26
M2_3ecu_105signals	baseline1	0.37641600000000008	0.37641600000000008	105	75
M2_3ecu_105signals	baseline2	0.19619601407242143	0.19619600000000001	105	0
M3_4ecu_135signals	foundation	0.47933599999999998	0.47933599999999998	135	33
M3_4ecu_135signals	baseline1	0.49682799999999988	0.49682799999999988	135	93
M3_4ecu_135signals	baseline2	0.26669202444037476	0.26669199999999993	135	0
M4_4ecu_170signals	foundation	0.52388800000000002	0.52388800000000002	170	42
M4_4ecu_170signals	baseline1	0.54697999999999991	0.54697999999999991	170	110
M4_4ecu_170signals	baseline2	0.29505603418248572	0.2950560000000001	170	0
M5_5ecu_200signals	foundation	0.6424639999999997	0.6424639999999997	200	49
M5_5ecu_200signals	baseline1	0.68396800000000013	0.68396800000000013	200	135
M5_5ecu_200signals	baseline2	0.36960805362932658	0.36960799999999994	200	0
M6_5ecu_225signals	foundation	0.75070799999999982	0.75070799999999982	225	55
M6_5ecu_225signals	baseline1	0.80505200000000021	0.80505200000000021	225	150
M6_5ecu_225signals	baseline2	0.43099607188468009	0.43099599999999999	225	0

[wcrt_ratio_p95]
dataset	scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
M1_3ecu_75signals	foundation	A	56	0.028781571428571937	0.1081600000000023
M1_3ecu_75signals	foundation	B	8	0.0057530000000001486	0.016240000000000521
M1_3ecu_75signals	foundation	C	7	0.02316857142857514	0.066000000000023817
M1_3ecu_75signals	foundation	D	4	0.026160000000006178	0.066000000000023817
M1_3ecu_75signals	baseline1	A	56	0.015547285714286157	0.052120000000001811
M1_3ecu_75signals	baseline1	B	8	0.0082515000000005032	0.02160000000000082
M1_3ecu_75signals	baseline1	C	7	0.030697142857140491	0.08239999999997849
M1_3ecu_75signals	baseline1	D	4	0.029909999999994774	0.08239999999997849
M1_3ecu_75signals	baseline2	A	56	0.025631499999999998	0.067400000000000002
M1_3ecu_75signals	baseline2	B	8	0.032583500000000008	0.052520000000000011
M1_3ecu_75signals	baseline2	C	7	0.051877142857142865	0.095200000000000007
M1_3ecu_75signals	baseline2	D	4	0.070320000000000008	0.095200000000000007
M2_3ecu_105signals	foundation	A	79	0.030984000000000522	0.12360000000000326
M2_3ecu_105signals	foundation	B	11	0.012543636363636585	0.026160000000000495
M2_3ecu_105signals	foundation	C	10	0.026814000000000678	0.081200000000002603
M2_3ecu_105signals	foundation	D	5	0.044168000000005071	0.081200000000002603
M2_3ecu_105signals	baseline1	A	79	0.019497063291139427	0.11528000000000134
M2_3ecu_105signals	baseline1	B	11	0.013742545454545646	0.069360000000000352
M2_3ecu_105signals	baseline1	C	10	0.023167999999998589	0.069360000000000352
M2_3ecu_105signals	baseline1	D	5	0.038424000000000687	0.062400000000017997
M2_3ecu_105signals	baseline2	A	79	0.030226329113924061	0.0872
M2_3ecu_105signals	baseline2	B	11	0.03819527272727273	0.085999999999999993
M2_3ecu_105signals	baseline2	C	10	0.054854	0.095200000000000007
M2_3ecu_105signals	baseline2	D	5	0.095344000000000012	0.1348
M3_4ecu_135signals	foundation	A	102	0.043546509803922301	0.200600000000001
M3_4ecu_135signals	foundation	B	14	0.0084111428571429937	0.013080000000000069
M3_4ecu_135signals	foundation	C	13	0.021020000000000601	0.081199999999999939
M3_4ecu_135signals	foundation	D	6	0.052520000000001406	0.081199999999999939
M3_4ecu_135signals	baseline1	A	102	0.034429960784314172	0.16648000000000424
M3_4ecu_135signals	baseline1	B	14	0.02510257142857222	0.06008000000000209
M3_4ecu_135signals	baseline1	C	13	0.033507692307693501	0.078400000000030445
M3_4ecu_135signals	baseline1	D	6	0.065473333333343584	0.12280000000000513
M3_4ecu_135signals	baseline2	A	102	0.037681450980392155	0.107
M3_4ecu_135signals	baseline2	B	14	0.046740285714285713	0.084639999999999979
M3_4ecu_135signals	baseline2	C	13	0.072584615384615386	0.1744
M3_4ecu_135signals	baseline2	D	6	0.11696666666666666	0.1744
M4_4ecu_170signals	foundation	A	128	0.05122481250000039	0.18344000000000166
M4_4ecu_170signals	foundation	B	18	0.0096328888888889547	0.058040000000000445
M4_4ecu_170signals	foundation	C	16	0.017969999999999584	0.05999999999998451
M4_4ecu_170signals	foundation	D	8	0.044289999999996922	0.068399999999989802
M4_4ecu_170signals	baseline1	A	128	0.039207031250000239	0.15096000000000204
M4_4ecu_170signals	baseline1	B	18	0.011182444444444573	0.026960000000000407
M4_4ecu_170signals	baseline1	C	16	0.032933749999999831	0.085200000000000387
M4_4ecu_170signals	baseline1	D	8	0.077250000000010477	0.14080000000002713
M4_4ecu_170signals	baseline2	A	128	0.048072374999999966	0.13679999999999998
M4_4ecu_170signals	baseline2	B	18	0.056874444444444422	0.11456
M4_4ecu_170signals	baseline2	C	16	0.077738749999999968	0.15479999999999999
M4_4ecu_170signals	baseline2	D	8	0.11681999999999999	0.19439999999999999
M5_5ecu_200signals	foundation	A	151	0.072267523178808662	0.28088000000000191
M5_5ecu_200signals	foundation	B	21	0.023436571428571577	0.10360000000000084
M5_5ecu_200signals	foundation	C	19	0.032670526315790635	0.12480000000000047
M5_5ecu_200signals	foundation	D	9	0.08614222222222595	0.16440000000000055
M5_5ecu_200signals	baseline1	A	151	0.069018781456954101	0.29672000000000337
M5_5ecu_200signals	baseline1	B	21	0.0521001904761908	0.14316000000000101
M5_5ecu_200signals	baseline1	C	19	0.053349473684210121	0.13072000000000089
M5_5ecu_200signals	baseline1	D	9	0.081337777777772402	0.16732000000000086
M5_5ecu_200signals	baseline2	A	151	0.066017377483443745	0.15659999999999999
M5_5ecu_200signals	baseline2	B	21	0.058077142857142855	0.13695999999999994
M5_5ecu_200signals	baseline2	C	19	0.098835789473684196	0.23399999999999999
M5_5ecu_200signals	baseline2	D	9	0.13988	0.23399999999999999
M6_5ecu_225signals	foundation	A	170	0.10015585882353036	0.35840000000000388
M6_5ecu_225signals	foundation	B	24	0.028825333333333553	0.098240000000000549
M6_5ecu_225signals	foundation	C	21	0.059660000000000532	0.16444000000000186
M6_5ecu_225signals	foundation	D	10	0.097484000000000584	0.16239999999999988
M6_5ecu_225signals	baseline1	A	170	0.099120988235295179	0.39116000000000495
M6_5ecu_225signals	baseline1	B	24	0.062852833333334537	0.18980000000000316
M6_5ecu_225signals	baseline1	C	21	0.071956190476192589	0.14736000000000188
M6_5ecu_225signals	baseline1	D	10	0.08898400000000585	0.1943600000000032
M6_5ecu_225signals	baseline2	A	170	0.070117082352941076	0.17603999999999997
M6_5ecu_225signals	baseline2	B	24	0.074148333333333316	0.17999999999999999
M6_5ecu_225signals	baseline2	C	21	0.10467714285714286	0.19439999999999999
M6_5ecu_225signals	baseline2	D	10	0.15592800000000001	0.27359999999999995

[fault_probability]
dataset	scheme	asil	signal_count	avg_fault_probability	max_fault_probability
M1_3ecu_75signals	foundation	A	56	1.1752714216338889e-08	1.3391999910327171e-08
M1_3ecu_75signals	foundation	B	8	1.3904654235213107e-16	1.5041894214804202e-16
M1_3ecu_75signals	foundation	C	7	1.3437261100085066e-16	1.7211398174152037e-16
M1_3ecu_75signals	foundation	D	4	1.362034423953471e-16	1.7211398174152037e-16
M1_3ecu_75signals	baseline1	A	56	3.8224286489897962e-09	1.2311999924207329e-08
M1_3ecu_75signals	baseline1	B	8	1.5340784206447584e-16	2.0943878096900196e-16
M1_3ecu_75signals	baseline1	C	7	1.4362882796615047e-16	2.0943878096900196e-16
M1_3ecu_75signals	baseline1	D	4	1.2955496251934368e-16	1.5158534213368129e-16
M1_3ecu_75signals	baseline2	A	56	5.6621374255882984e-15	2.4980018054066022e-14
