dataset	selected_count	no_node_bandwidth	on_demand_normal_bandwidth	on_demand_fault_bandwidth	always_on_bandwidth	on_demand_schedulable	always_on_schedulable	on_demand_copies	always_on_copies
E5S150_5ecu_150signals_001	2	0.556118	0.558601	0.579803	0.561264	1	1	38	38
E5S150_5ecu_150signals_001	4	0.556118	0.567441	0.616563	0.571424	1	1	42	42
E5S150_5ecu_150signals_001	6	0.556118	0.561856	0.61278	0.573918	1	1	46	46
E5S150_5ecu_150signals_001	8	0.556118	0.569968	0.62386	0.57573	1	1	50	50
E5S150_5ecu_150signals_001	10	0.556118	0.571552	0.649204	0.58357	0	1	54	54
E5S150_5ecu_150signals_002	2	0.481291	0.484851	0.498711	0.484951	1	1	38	38
E5S150_5ecu_150signals_002	4	0.481291	0.493891	0.518839	0.492031	1	1	42	42
E5S150_5ecu_150signals_002	6	0.481291	0.517007	0.590275	0.522651	1	1	46	46
E5S150_5ecu_150signals_002	8	0.481291	0.522087	0.604855	0.534471	1	1	50	50
E5S150_5ecu_150signals_002	10	0.481291	0.530299	0.624227	0.541755	1	1	54	54
E5S150_5ecu_150signals_003	2	0.455274	0.464334	0.488094	0.463534	1	1	38	38
E5S150_5ecu_150signals_003	4	0.455274	0.46771	0.504538	0.46579	1	1	42	42
E5S150_5ecu_150signals_003	6	0.455274	0.471878	0.515834	0.465142	1	1	46	46
E5S150_5ecu_150signals_003	8	0.455274	0.471698	0.52619	0.474998	1	1	50	50
E5S150_5ecu_150signals_003	10	0.455274	0.477737	0.544703	0.476856	1	1	54	54
E5S150_5ecu_150signals_004	2	0.485337	0.486765	0.495873	0.487813	1	1	38	38
E5S150_5ecu_150signals_004	4	0.485337	0.504315	0.555015	0.516407	1	1	42	42
E5S150_5ecu_150signals_004	6	0.485337	0.540409	0.640269	0.586793	1	1	46	46
E5S150_5ecu_150signals_004	8	0.485337	0.553429	0.658029	0.589437	1	1	50	50
E5S150_5ecu_150signals_004	10	0.485337	0.568345	0.807273	0.666573	0	1	54	54
E5S150_5ecu_150signals_005	2	0.564586	0.601246	0.673326	0.470416	1	0	39	0
E5S150_5ecu_150signals_005	4	0.564586	0.609712	0.687772	0.472056	1	0	43	0
E5S150_5ecu_150signals_005	6	0.564586	0.606792	0.711296	0.473836	1	0	47	0
E5S150_5ecu_150signals_005	8	0.564586	0.621398	0.735818	0.476156	0	0	51	0
E5S150_5ecu_150signals_005	10	0.564586	0.659788	0.881936	0.501106	0	0	55	0
E5S150_5ecu_150signals_006	2	0.535084	0.542924	0.554804	0.542284	1	1	38	38
E5S150_5ecu_150signals_006	4	0.535084	0.543676	0.559516	0.547286	1	1	42	42
E5S150_5ecu_150signals_006	6	0.535084	0.553	0.591412	0.553196	1	1	46	46
E5S150_5ecu_150signals_006	8	0.535084	0.558532	0.60526	0.555332	1	1	50	50
E5S150_5ecu_150signals_006	10	0.535084	0.567136	0.637664	0.564052	1	1	54	54
E5S150_5ecu_150signals_007	2	0.694455	0.697837	0.703897	0.701071	1	1	38	38
E5S150_5ecu_150signals_007	4	0.694455	0.696043	0.710023	0.699219	1	1	42	42
E5S150_5ecu_150signals_007	6	0.694455	0.713615	0.739475	0.716139	1	1	46	46
E5S150_5ecu_150signals_007	8	0.694455	0.713642	0.741672	0.718596	1	1	50	50
E5S150_5ecu_150signals_007	10	0.694455	0.714162	0.755912	0.718736	0	1	54	54
E5S150_5ecu_150signals_008	2	0.425402	0.429328	0.44141	0.428701	1	1	38	38
E5S150_5ecu_150signals_008	4	0.425402	0.428828	0.45873	0.427331	1	1	42	42
E5S150_5ecu_150signals_008	6	0.425402	0.433904	0.476874	0.434267	1	1	46	46
E5S150_5ecu_150signals_008	8	0.425402	0.446231	0.513377	0.440947	1	1	50	50
E5S150_5ecu_150signals_008	10	0.425402	0.449408	0.540314	0.449907	1	1	54	54
E5S150_5ecu_150signals_009	2	0.421576	0.458176	0.515256	0.491776	1	1	38	38
E5S150_5ecu_150signals_009	4	0.421576	0.461892	0.526516	0.494532	1	1	42	42
E5S150_5ecu_150signals_009	6	0.421576	0.468012	0.545288	0.502212	1	1	46	46
E5S150_5ecu_150signals_009	8	0.421576	0.472672	0.571928	0.511152	1	1	50	50
E5S150_5ecu_150signals_009	10	0.421576	0.476968	0.584184	0.512864	0	1	54	54
E5S150_5ecu_150signals_010	2	0.504395	0.513244	0.525322	0.515334	1	1	39	39
E5S150_5ecu_150signals_010	4	0.504395	0.555484	0.624642	0.585474	1	1	43	43
E5S150_5ecu_150signals_010	6	0.504395	0.563538	0.646952	0.595378	1	1	47	47
E5S150_5ecu_150signals_010	8	0.504395	0.563288	0.669482	0.604858	0	1	51	51
E5S150_5ecu_150signals_010	10	0.504395	0.600878	0.814012	0.691538	0	1	55	55
