# 跨六组信号集汇总的对比结果，便于直接复制到表格或画图脚本。
# dataset: 数据集标签，对应 M1~M6。
# scheme: foundation / baseline1 / baseline2。
# ASIL 分组指标均可直接按 dataset + scheme + asil 进行筛选或透视。

[bandwidth_utilization]
dataset	scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
msg_M1_3ecu_75signals_tab	foundation	0.27076800000000001	0.27076800000000001	75	19
msg_M1_3ecu_75signals_tab	baseline1	0.29161199999999993	0.29161199999999993	75	54
msg_M1_3ecu_75signals_tab	baseline2	0.1492840100722479	0.14928399999999997	75	0
msg_M2_3ecu_105signals_tab	foundation	0.36262000000000005	0.36262000000000005	105	26
msg_M2_3ecu_105signals_tab	baseline1	0.38549199999999995	0.38549199999999995	105	75
msg_M2_3ecu_105signals_tab	baseline2	0.19697201423267099	0.19697200000000001	105	0
msg_M3_4ecu_135signals_tab	foundation	0.48301600000000006	0.48301600000000006	135	33
msg_M3_4ecu_135signals_tab	baseline1	0.5030119999999999	0.5030119999999999	135	93
msg_M3_4ecu_135signals_tab	baseline2	0.26809602532399629	0.26809599999999995	135	0
msg_M4_4ecu_170signals_tab	foundation	0.52690400000000015	0.52690400000000015	170	42
msg_M4_4ecu_170signals_tab	baseline1	0.57045999999999997	0.57045999999999997	170	122
msg_M4_4ecu_170signals_tab	baseline2	0.3015960364257369	0.30159599999999998	170	0
msg_M5_5ecu_200signals_tab	foundation	0.62898399999999999	0.62898399999999999	200	49
msg_M5_5ecu_200signals_tab	baseline1	0.67270400000000019	0.67270400000000019	200	136
msg_M5_5ecu_200signals_tab	baseline2	0.36786405248128495	0.36786399999999997	200	0
msg_M6_5ecu_225signals_tab	foundation	0.75136400000000003	0.75136400000000003	225	55
msg_M6_5ecu_225signals_tab	baseline1	0.79713599999999996	0.79713599999999996	225	155
msg_M6_5ecu_225signals_tab	baseline2	0.43047607186400927	0.4304759999999998	225	0

[wcrt_ratio_p95]
dataset	scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
msg_M1_3ecu_75signals_tab	foundation	A	56	0.002737142857142856	0.019800000000000002
msg_M1_3ecu_75signals_tab	foundation	B	8	0.0032959999999999995	0.0083199999999999993
msg_M1_3ecu_75signals_tab	foundation	C	7	0.011757142857142855	0.041599999999999998
msg_M1_3ecu_75signals_tab	foundation	D	4	0.018769999999999998	0.041599999999999998
msg_M1_3ecu_75signals_tab	baseline1	A	56	0.0028292857142857134	0.019800000000000002
msg_M1_3ecu_75signals_tab	baseline1	B	8	0.0034784999999999998	0.0083199999999999993
msg_M1_3ecu_75signals_tab	baseline1	C	7	0.011971428571428572	0.041599999999999998
msg_M1_3ecu_75signals_tab	baseline1	D	4	0.019019999999999999	0.041599999999999998
msg_M1_3ecu_75signals_tab	baseline2	A	56	0.02576664285714287	0.078080000000000011
msg_M1_3ecu_75signals_tab	baseline2	B	8	0.032744500000000003	0.07016
msg_M1_3ecu_75signals_tab	baseline2	C	7	0.047748571428571432	0.095200000000000007
msg_M1_3ecu_75signals_tab	baseline2	D	4	0.068890000000000007	0.095200000000000007
msg_M2_3ecu_105signals_tab	foundation	A	79	0.0027356455696202538	0.019800000000000002
msg_M2_3ecu_105signals_tab	foundation	B	11	0.0030185454545454543	0.00792
msg_M2_3ecu_105signals_tab	foundation	C	10	0.0096159999999999995	0.041599999999999998
msg_M2_3ecu_105signals_tab	foundation	D	5	0.022896	0.041599999999999998
msg_M2_3ecu_105signals_tab	baseline1	A	79	0.0028457721518987344	0.019800000000000002
msg_M2_3ecu_105signals_tab	baseline1	B	11	0.003480363636363636	0.0091199999999999996
msg_M2_3ecu_105signals_tab	baseline1	C	10	0.0099260000000000008	0.041599999999999998
msg_M2_3ecu_105signals_tab	baseline1	D	5	0.023015999999999998	0.041599999999999998
msg_M2_3ecu_105signals_tab	baseline2	A	79	0.029634430379746841	0.0872
msg_M2_3ecu_105signals_tab	baseline2	B	11	0.038109818181818182	0.070559999999999998
msg_M2_3ecu_105signals_tab	baseline2	C	10	0.059343999999999994	0.1348
msg_M2_3ecu_105signals_tab	baseline2	D	5	0.086223999999999995	0.1348
msg_M3_4ecu_135signals_tab	foundation	A	102	0.0027209019607843136	0.019800000000000002
msg_M3_4ecu_135signals_tab	foundation	B	14	0.0028685714285714287	0.0083199999999999993
msg_M3_4ecu_135signals_tab	foundation	C	13	0.0084784615384615371	0.041599999999999998
msg_M3_4ecu_135signals_tab	foundation	D	6	0.025646666666666665	0.041599999999999998
msg_M3_4ecu_135signals_tab	baseline1	A	102	0.0029318823529411787	0.019800000000000002
