code	comm_id	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
1456534821	0	8	50	50	3	0	0	0	0
2697783870	0	8	20	20	1	2	0	0	0
3952300244	0	32	5	5	2	1	0	0	0
59798030	0	32	10	10	3	0	0	0	0
3467724182	0	8	10	10	4	2	0	0	0
1403827716	0	16	10	10	0	3	0	0	0
3392053672	0	16	20	20	4	3	0	0	0
764251878	0	16	100	100	3	2	0	0	0
10471660	0	64	20	20	1	4	0	0	0
2331461831	0	8	20	20	2	4	0	0	0
963578490	0	16	20	20	1	2	0	0	0
1222695887	0	16	100	100	3	1	0	3	0
520635388	0	32	2	2	0	2	0	0	0
3831405310	0	16	1	1	2	1	0	0	0
3075424973	0	8	20	20	0	3	0	0	0
2950932521	0	8	1000	1000	4	1	0	0	0
2230708424	0	16	1000	1000	0	1	0	0	0
525421466	0	16	10	10	0	2	0	3	0
2017661846	0	32	50	50	2	1	0	3	0
501728156	0	16	20	20	0	1	0	0	0
2392946690	0	8	10	10	4	1	0	0	0
948843829	0	128	20	20	1	3	0	0	0
204642805	0	16	10	10	2	0	0	0	0
1255152085	0	16	100	100	2	0	0	0	0
3542308818	0	16	20	20	0	2	0	0	0
237042519	0	16	100	100	2	0	0	0	0
2958617687	0	32	10	10	4	0	0	0	0
1695858163	0	8	20	20	0	3	0	0	0
3879439991	0	8	100	100	3	4	0	0	0
2084231108	0	8	1000	1000	2	0	0	3	0
2950648911	0	8	100	100	4	1	0	0	0
1443214291	0	16	50	50	3	4	0	0	0
2763542344	0	8	10	10	0	4	0	0	0
3810677788	0	32	20	20	1	0	0	0	0
3412943024	0	16	1	1	2	1	0	0	0
2650351500	0	8	5	5	1	0	0	0	0
514779683	0	16	10	10	2	0	0	3	0
4022109165	0	8	1	1	1	0	0	0	0
2021519836	0	16	100	100	2	1	0	0	0
1236349491	0	8	10	10	4	1	0	0	0
964722389	0	8	2	2	2	1	0	0	0
1844893844	0	8	10	10	0	1	0	0	0
3512479436	0	16	20	20	4	3	0	0	0
1665457373	0	128	1	1	2	1	0	0	0
2561865860	0	512	10	10	3	4	0	0	0
3807127649	0	16	10	10	1	4	0	0	0
1835116516	0	8	10	10	1	4	0	0	0
439883240	0	16	20	20	2	3	0	0	0
3560762208	0	16	10	10	0	1	0	0	0
3882473471	0	16	10	10	0	3	0	0	0
2480345246	0	8	100	100	1	0	0	0	0
3749952035	0	16	2	2	1	0	0	0	0
3842010069	0	16	10	10	1	3	0	0	0
2293683929	0	8	20	20	4	1	0	0	0
3854603806	0	8	20	20	3	4	0	0	0
1276590279	0	32	20	20	4	2	0	0	0
3089468993	0	16	10	10	0	2	0	0	0
2049325462	0	16	20	20	4	1	0	0	0
3524915754	0	16	20	20	3	2	0	0	0
2588604977	0	16	20	20	0	2	0	0	0
196561961	0	8	100	100	4	3	0	0	0
312071792	0	16	10	10	1	4	0	0	0
997122641	0	8	5	5	2	0	0	0	0
2134922073	0	8	100	100	3	0	0	0	0
1287281148	0	32	10	10	4	2	0	0	0
334843882	0	16	20	20	0	1	0	0	0
44185801	0	16	20	20	1	4	0	0	0
2747782710	0	32	10	10	1	4	0	0	0
88785597	0	8	10	10	3	4	0	0	0
1579480019	0	8	100	100	1	4	0	0	0
482657159	0	16	20	20	4	2	0	0	0
2569807830	0	32	100	100	4	3	0	0	0
1738602971	0	16	20	20	4	2	0	0	0
2108739353	0	16	10	10	4	3	0	0	0
2358894816	0	16	100	100	1	0	0	0	0
3219045639	0	8	20	20	3	4	0	0	0
984042571	0	16	10	10	3	0	0	0	0
3521973112	0	8	100	100	4	0	0	0	0
2352356982	0	16	100	100	4	3	0	0	0
876548023	0	16	100	100	2	1	0	0	0
58805524	0	8	1	1	0	2	0	0	0
2096620057	0	16	10	10	0	2	0	0	0
2420538637	0	16	100	100	1	0	0	0	0
3272728149	0	256	1000	1000	4	3	0	0	0
1400793305	0	16	10	10	3	1	0	0	0
2767115787	0	16	10	10	0	3	0	0	0
576218362	0	16	2	2	1	0	0	0	0
3171460852	0	8	20	20	2	4	0	0	0
1864569331	0	16	10	10	4	3	0	0	0
1885967507	0	32	1000	1000	1	4	0	0	0
3683314255	0	8	20	20	4	0	0	0	0
891545813	0	8	10	10	0	4	0	0	0
490588096	0	16	20	20	4	3	0	0	0
3390194730	0	16	20	20	2	4	0	0	0
1572477444	0	8	20	20	2	1	0	3	0
1763899469	0	8	100	100	4	2	0	3	0
3693706936	0	16	10	10	0	2	0	0	0
2629782226	0	16	100	100	0	4	0	0	0
1428682683	0	8	100	100	2	1	0	0	0
529994252	0	32	5	5	1	2	0	0	0
1817009950	0	16	20	20	2	4	0	0	0
4272876025	0	16	10	10	4	2	0	0	0
1053809311	0	16	10	10	2	4	0	0	0
3579793786	0	16	100	100	2	4	0	0	0
943742621	0	8	20	20	4	2	0	0	0
310073822	0	8	2	2	2	1	0	0	0
1097127694	0	8	100	100	3	2	0	0	0
1579646025	0	16	100	100	2	4	0	0	0
169003188	0	16	10	10	1	2	0	3	0
302891924	0	8	100	100	1	2	0	0	0
2615989810	0	16	10	10	3	1	0	0	0
3438484966	0	8	50	50	4	2	0	0	0
4051969214	0	16	20	20	4	0	0	0	0
3498615459	0	16	10	10	1	3	0	0	0
1941010774	0	8	10	10	2	1	0	0	0
2080574390	0	8	20	20	3	1	0	0	0
4247918197	0	8	20	20	1	2	0	0	0
2999528087	0	32	10	10	4	1	0	0	0
2265569447	0	8	10	10	2	4	0	0	0
1977892870	0	32	20	20	4	2	0	3	0
323991428	0	16	10	10	0	1	0	0	0
1776947435	0	8	100	100	0	3	0	0	0
2065229902	0	16	100	100	3	4	0	0	0
409013194	0	16	10	10	3	4	0	0	0
2526797896	0	32	100	100	1	0	0	0	0
3334308851	0	16	100	100	4	0	0	1	0
2577135677	0	16	20	20	2	4	0	1	0
3369141889	0	16	20	20	4	0	0	1	0
1163325814	0	16	10	10	4	0	0	1	0
1170626191	0	16	20	20	1	3	0	1	0
