# ECDF points used for the deterministic-WCRT CDF plots.

config	scheme	point_index	threshold_wcrt_ms	cdf
E5S50_5ecu_50signals	foundation	1	0.069200000000194	0.002
E5S50_5ecu_50signals	foundation	2	0.07120000000020354	0.004
E5S50_5ecu_50signals	foundation	3	0.07120000000020354	0.006
E5S50_5ecu_50signals	foundation	4	0.07120000000020354	0.008
E5S50_5ecu_50signals	foundation	5	0.0732000000002131	0.01
E5S50_5ecu_50signals	foundation	6	0.0732000000002131	0.012
E5S50_5ecu_50signals	foundation	7	0.0732000000002131	0.014
E5S50_5ecu_50signals	foundation	8	0.0732000000002131	0.016
E5S50_5ecu_50signals	foundation	9	0.0732000000002131	0.018
E5S50_5ecu_50signals	foundation	10	0.07920000000001437	0.02
E5S50_5ecu_50signals	foundation	11	0.10880000000020118	0.022
E5S50_5ecu_50signals	foundation	12	0.10880000000020118	0.024
E5S50_5ecu_50signals	foundation	13	0.11080000000021073	0.026
E5S50_5ecu_50signals	foundation	14	0.11080000000021073	0.028
E5S50_5ecu_50signals	foundation	15	0.11080000000021073	0.03
E5S50_5ecu_50signals	foundation	16	0.11280000000022028	0.032
E5S50_5ecu_50signals	foundation	17	0.11280000000022028	0.034
E5S50_5ecu_50signals	foundation	18	0.11880000000002156	0.036
E5S50_5ecu_50signals	foundation	19	0.11880000000002156	0.038
E5S50_5ecu_50signals	foundation	20	0.11880000000002156	0.04
E5S50_5ecu_50signals	foundation	21	0.11880000000002156	0.042
E5S50_5ecu_50signals	foundation	22	0.11880000000002156	0.044
E5S50_5ecu_50signals	foundation	23	0.14840000000020837	0.046
E5S50_5ecu_50signals	foundation	24	0.14840000000020837	0.048
E5S50_5ecu_50signals	foundation	25	0.15240000000022746	0.05
E5S50_5ecu_50signals	foundation	26	0.15240000000022746	0.052
E5S50_5ecu_50signals	foundation	27	0.15240000000022746	0.054
E5S50_5ecu_50signals	foundation	28	0.15240000000022746	0.056
E5S50_5ecu_50signals	foundation	29	0.15840000000002874	0.058
E5S50_5ecu_50signals	foundation	30	0.15840000000002874	0.06
E5S50_5ecu_50signals	foundation	31	0.15840000000002874	0.062
E5S50_5ecu_50signals	foundation	32	0.15840000000002874	0.064
E5S50_5ecu_50signals	foundation	33	0.15840000000002874	0.066
E5S50_5ecu_50signals	foundation	34	0.15840000000002874	0.068
E5S50_5ecu_50signals	foundation	35	0.15840000000002874	0.07
E5S50_5ecu_50signals	foundation	36	0.15840000000002874	0.072
E5S50_5ecu_50signals	foundation	37	0.15840000000002874	0.074
E5S50_5ecu_50signals	foundation	38	0.15840000000002874	0.076
E5S50_5ecu_50signals	foundation	39	0.1900000000002251	0.078
E5S50_5ecu_50signals	foundation	40	0.19800000000003593	0.08
E5S50_5ecu_50signals	foundation	41	0.19800000000003593	0.082
E5S50_5ecu_50signals	foundation	42	0.19800000000003593	0.084
E5S50_5ecu_50signals	foundation	43	0.19800000000003593	0.086
E5S50_5ecu_50signals	foundation	44	0.19800000000003593	0.088
E5S50_5ecu_50signals	foundation	45	0.19800000000003593	0.09
E5S50_5ecu_50signals	foundation	46	0.19800000000003593	0.092
