[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	algorithm2	0.290091	0.290091	12	1

[cluster_summary]
dataset	config	code	route_count	p_function_fault	p_threshold

[route_summary]
dataset	config	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	1462439579	0	3	0	0	3	100	100	2	1	1.56816e-15	2.77778e-13	1.6652
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	4155860012	0	3	0	1	4	1000	1000	2	1	1.56816e-15	2.77778e-12	1.8236
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	249062567	0	2	0	0	1	1	1	2	1	1.56816e-15	2.77778e-14	0.1088
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	2719530712	0	2	0	2	4	20	20	2	1	1.56816e-15	5.55556e-13	1.0296
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	2853919926	0	2	0	0	2	1	1	2	1	1.56816e-15	2.77778e-14	0.188
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	3234835579	0	2	0	0	1	10	10	2	1	1.56816e-15	2.77778e-13	0.4752
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	4271637780	0	2	0	2	0	5	5	2	1	1.56816e-15	1.38889e-13	0.3168
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	46529824	0	1	0	2	4	20	20	2	1	1.56816e-15	5.55556e-13	1.0296
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	59486285	0	1	0	2	3	10	10	2	1	1.56816e-15	2.77778e-13	0.7128
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	1952021660	0	1	0	1	2	10	10	2	1	1.56816e-15	2.77778e-13	0.8316
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	2352731911	0	1	0	0	2	100	100	2	1	1.56816e-15	2.77778e-12	1.5068
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	4045649721	0	1	0	0	1	10	10	2	1	1.56816e-15	2.77778e-13	0.4752
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	823019	0	0	0	4	3	20	20	1	0	3.96e-08	1	0.396
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	115494885	0	0	0	2	4	20	20	1	0	3.96e-08	1	0.5148
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	327448223	0	0	0	1	0	10	10	1	0	3.96e-08	1	0.594
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	333718847	0	0	0	1	4	100	100	1	0	3.96e-08	1	1.7048
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	378270622	0	0	0	2	4	10	10	1	0	3.96e-08	1	0.5148
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	503850647	0	0	0	1	0	10	10	1	0	3.96e-08	1	0.594
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	597944719	0	0	0	0	1	20	20	1	0	3.96e-08	1	0.4752
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	632843880	0	0	0	2	0	2	2	1	0	3.96e-08	1	0.198
E5S50_5ecu_50signals_001	E5S50_5ecu_50signals	685956522	0	0	0	4	0	20	20	1	0	3.96e-08	1	0.99
