# Worst foundation-scheme fault probability by dataset and ASIL group.
# Only ASIL B/C/D are shown because ASIL A does not carry a useful threshold here.

dataset	asil	code	max_p_fault	p_threshold	fault_to_threshold_ratio
E5S50_5ecu_50signals_001	B	3201304199395516738	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S50_5ecu_50signals_001	C	4399242007912345231	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S50_5ecu_50signals_001	D	14081578478390080878	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S50_5ecu_50signals_002	B	8165408408949184620	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S50_5ecu_50signals_002	C	6467142612617466948	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S50_5ecu_50signals_002	D	12756709333342351216	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S50_5ecu_50signals_003	B	17004740955251849933	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S50_5ecu_50signals_003	C	556118258597228899	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S50_5ecu_50signals_003	D	3074937629733752986	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S50_5ecu_50signals_004	B	1970733004297022412	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S50_5ecu_50signals_004	C	17926414326574337315	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S50_5ecu_50signals_004	D	645086211555432510	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S50_5ecu_50signals_005	B	3402308091992575854	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E5S50_5ecu_50signals_005	C	17938380241720435302	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E5S50_5ecu_50signals_005	D	2002465175632174436	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S80_5ecu_80signals_001	B	1592758274866136686	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S80_5ecu_80signals_001	C	2660152385633272448	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E5S80_5ecu_80signals_001	D	7469290409768779141	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S80_5ecu_80signals_002	B	13013678741464497121	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S80_5ecu_80signals_002	C	12324987097014813086	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S80_5ecu_80signals_002	D	9935577201113891911	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E5S80_5ecu_80signals_003	B	14323273253496199410	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E5S80_5ecu_80signals_003	C	4041869605166971102	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E5S80_5ecu_80signals_003	D	2046385890437621825	1.8057599230746268e-15	1e-08	1.8057599230746268e-07
E5S80_5ecu_80signals_004	B	2289862755449567577	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E5S80_5ecu_80signals_004	C	13053195140478128712	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E5S80_5ecu_80signals_004	D	11739599272493984679	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S80_5ecu_80signals_005	B	13413020288991979631	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E5S80_5ecu_80signals_005	C	6729140084905007571	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S80_5ecu_80signals_005	D	17394070362024431597	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E5S120_5ecu_120signals_001	B	481968303138805792	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E5S120_5ecu_120signals_001	C	12651943589428853879	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S120_5ecu_120signals_001	D	6241000249403893750	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S120_5ecu_120signals_002	B	13773546781263878180	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S120_5ecu_120signals_002	C	23308739873859862	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S120_5ecu_120signals_002	D	2724104851213168129	1.7305599280087053e-15	1e-08	1.7305599280087053e-07
E5S120_5ecu_120signals_003	B	11072910904927536565	1.884959917815747e-15	1e-07	1.884959917815747e-08
E5S120_5ecu_120signals_003	C	2729539133341808562	1.813759922733826e-15	1e-07	1.813759922733826e-08
E5S120_5ecu_120signals_003	D	4692854870464087739	1.813759922733826e-15	1e-08	1.813759922733826e-07
E5S120_5ecu_120signals_004	B	4063916046304743706	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E5S120_5ecu_120signals_004	C	4392297678329758193	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S120_5ecu_120signals_004	D	1942324956026550883	1.900959917118147e-15	1e-08	1.900959917118147e-07
E5S120_5ecu_120signals_005	B	6507281232329708294	1.884959917815747e-15	1e-07	1.884959917815747e-08
E5S120_5ecu_120signals_005	C	5974171495417721785	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E5S120_5ecu_120signals_005	D	7826589651260472438	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E5S150_5ecu_150signals_001	B	14778733948425872528	2.3609598852573478e-15	1e-07	2.3609598852573478e-08
E5S150_5ecu_150signals_001	C	2605025015977281359	2.3609598852573478e-15	1e-07	2.3609598852573478e-08
E5S150_5ecu_150signals_001	D	2191203808950344073	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E5S150_5ecu_150signals_002	B	8691062655669072985	2.5625598677719077e-15	1e-07	2.562559867771908e-08
E5S150_5ecu_150signals_002	C	973459467938151679	2.5625598677719077e-15	1e-07	2.562559867771908e-08
E5S150_5ecu_150signals_002	D	13169839062588228479	1.988159911328067e-15	1e-08	1.9881599113280669e-07
E5S150_5ecu_150signals_003	B	15857210537247714691	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S150_5ecu_150signals_003	C	14658700832126191459	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S150_5ecu_150signals_003	D	9433928602317331927	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E5S150_5ecu_150signals_004	B	1710334907479180322	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E5S150_5ecu_150signals_004	C	15435723084746022017	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E5S150_5ecu_150signals_004	D	2931454269908444605	1.7265599281751066e-15	1e-08	1.7265599281751065e-07
E5S150_5ecu_150signals_005	B	9225489214142129333	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S150_5ecu_150signals_005	C	13131292288800165877	1.813759922733826e-15	1e-07	1.813759922733826e-08
E5S150_5ecu_150signals_005	D	16782525785562586774	1.884959917815747e-15	1e-08	1.8849599178157468e-07
E5S200_5ecu_200signals_001	B	3391727798947429937	1.900959917118147e-15	1e-07	1.900959917118147e-08
E5S200_5ecu_200signals_001	C	18194819590469650394	3.794559766255113e-15	1e-07	3.794559766255113e-08
E5S200_5ecu_200signals_001	D	12122564099656297410	3.794559766255113e-15	1e-08	3.794559766255113e-07
E5S200_5ecu_200signals_002	B	14426318297256235435	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S200_5ecu_200signals_002	C	372586959387003869	2.0753599053635875e-15	1e-07	2.0753599053635876e-08
E5S200_5ecu_200signals_002	D	1339288644531966507	1.6473599331171859e-15	1e-08	1.6473599331171858e-07
E5S200_5ecu_200signals_003	B	17945319739546376280	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S200_5ecu_200signals_003	C	4483910701579218267	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E5S200_5ecu_200signals_003	D	6872224833449350577	1.900959917118147e-15	1e-08	1.900959917118147e-07
E5S200_5ecu_200signals_004	B	1923195288260447375	2.5625598677719077e-15	1e-07	2.562559867771908e-08
E5S200_5ecu_200signals_004	C	9212809720429304599	2.5625598677719077e-15	1e-07	2.562559867771908e-08
E5S200_5ecu_200signals_004	D	17325702676634856927	1.900959917118147e-15	1e-08	1.900959917118147e-07
E5S200_5ecu_200signals_005	B	7837452798791578342	1.988159911328067e-15	1e-07	1.988159911328067e-08
E5S200_5ecu_200signals_005	C	17234923401481612822	2.6857598587290292e-15	1e-07	2.6857598587290293e-08
E5S200_5ecu_200signals_005	D	784458456641846472	2.170559898851907e-15	1e-08	2.1705598988519072e-07
E5S250_5ecu_250signals_001	B	14668472298948267896	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S250_5ecu_250signals_001	C	5376246228435662605	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S250_5ecu_250signals_001	D	10678401875514336338	2.043359906822787e-15	1e-08	2.0433599068227871e-07
E5S250_5ecu_250signals_002	B	2403870969634124805	1.9801599116848663e-15	1e-07	1.9801599116848664e-08
E5S250_5ecu_250signals_002	C	1488406312231565430	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S250_5ecu_250signals_002	D	9312801077126602511	2.4393598765683887e-15	1e-08	2.4393598765683885e-07
E5S250_5ecu_250signals_003	B	5142325490111887802	1.813759922733826e-15	1e-07	1.813759922733826e-08
E5S250_5ecu_250signals_003	C	6011944041680178703	1.884959917815747e-15	1e-07	1.884959917815747e-08
E5S250_5ecu_250signals_003	D	15825461315951048871	1.813759922733826e-15	1e-08	1.813759922733826e-07
E5S250_5ecu_250signals_004	B	632162196832291919	1.988159911328067e-15	1e-07	1.988159911328067e-08
E5S250_5ecu_250signals_004	C	10918877583299896592	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S250_5ecu_250signals_004	D	12668335004189272794	1.988159911328067e-15	1e-08	1.9881599113280669e-07
E5S250_5ecu_250signals_005	B	12268825401227909635	2.4393598765683887e-15	1e-07	2.4393598765683887e-08
E5S250_5ecu_250signals_005	C	6308498203984573601	1.884959917815747e-15	1e-07	1.884959917815747e-08
E5S250_5ecu_250signals_005	D	7829535311798585891	2.4393598765683887e-15	1e-08	2.4393598765683885e-07
E8S50_8ecu_50signals_001	B	13184745251446249298	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E8S50_8ecu_50signals_001	C	2909725051462665774	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_001	D	283319739342436549	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S50_8ecu_50signals_002	B	7087270198964518555	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_002	C	5310102564765998718	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_002	D	4409795470741955764	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S50_8ecu_50signals_003	B	9055203196095145998	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_003	C	14046646495755200367	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E8S50_8ecu_50signals_003	D	1673892410718269174	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S50_8ecu_50signals_004	B	12689890022311594922	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_004	C	18168348734577877833	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_004	D	1214965469147737276	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S50_8ecu_50signals_005	B	2897374142593593340	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_005	C	11975457928853184741	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S50_8ecu_50signals_005	D	4220413325576062072	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S80_8ecu_80signals_001	B	6496979648452264668	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_001	C	10055179299720137659	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_001	D	11265692631455848049	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S80_8ecu_80signals_002	B	11934237543218455716	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_002	C	1413147392231001657	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_002	D	1075908810635538670	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S80_8ecu_80signals_003	B	12458075310025717383	1.7265599281751066e-15	1e-07	1.7265599281751066e-08
E8S80_8ecu_80signals_003	C	6291278726734456028	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_003	D	17820181124725499028	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
E8S80_8ecu_80signals_004	B	3683754493625071644	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_004	C	6914794527720727702	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_004	D	11383564380549046732	1.813759922733826e-15	1e-08	1.813759922733826e-07
E8S80_8ecu_80signals_005	B	3061071955841917880	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E8S80_8ecu_80signals_005	C	9965781467406756893	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
